Name,Year,Rating,Genres,Actors,Plot,Poster_Path,Category,Source_URL
The Dark Knight,2008,94 / 100,"Thriller, Crime, Drama, Action","Christopher Nolan, Christopher Nolan, Jonathan Nolan, Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine, Maggie Gyllenhaal, Gary Oldman","Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",posters/The_Dark_Knight_2008.jpg,Movie,https://www.cinematerial.com/movies/the-dark-knight-i468569
Avatar,2009,83 / 100,"Fantasy, Science Fiction, Action, Adventure","James Cameron, James Cameron, Sam Worthington, Zoe Saldaña, Sigourney Weaver, Stephen Lang, Michelle Rodriguez, Giovanni Ribisi","In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",posters/Avatar_2009.jpg,Movie,https://www.cinematerial.com/movies/avatar-i499549
Interstellar,2014,71 / 100,"Science Fiction, Drama, Adventure","Christopher Nolan, Christopher Nolan, Jonathan Nolan, Matthew McConaughey, Anne Hathaway, Michael Caine, Jessica Chastain, Casey Affleck, Wes Bentley",The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,posters/Interstellar_2014.jpg,Movie,https://www.cinematerial.com/movies/interstellar-i816692
Inception,2010,86 / 100,"Science Fiction, Action, Adventure","Christopher Nolan, Christopher Nolan, Leonardo DiCaprio, Joseph Gordon-Levitt, Ken Watanabe, Tom Hardy, Elliot Page, Dileep Rao","Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",posters/Inception_2010.jpg,Movie,https://www.cinematerial.com/movies/inception-i1375666
The Godfather,1972,99 / 100,"Drama, Crime","Francis Ford Coppola, Francis Ford Coppola, Mario Puzo, Marlon Brando, Al Pacino, James Caan, Robert Duvall, Richard S. Castellano, Diane Keaton","Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",posters/The_Godfather_1972.jpg,Movie,https://www.cinematerial.com/movies/the-godfather-i68646
Titanic,1997,88 / 100,"Drama, Romance","James Cameron, James Cameron, Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates, Frances Fisher, Gloria Stuart","101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.",posters/Titanic_1997.jpg,Movie,https://www.cinematerial.com/movies/titanic-i120338
Harry Potter and the Deathly Hallows - Part 2,2011,96 / 100,"Fantasy, Adventure","David Yates, Steve Kloves, Daniel Radcliffe, Emma Watson, Rupert Grint, Ralph Fiennes, Alan Rickman, Michael Gambon","Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.",posters/Harry_Potter_and_the_Deathly_Hallows_-_Part_2_2011.jpg,Movie,https://www.cinematerial.com/movies/harry-potter-and-the-deathly-hallows-part-2-i1201607
Avatar: The Way of Water,2022,,"Science Fiction, Action, Adventure","James Cameron, James Cameron, Rick Jaffa, Amanda Silver, Sam Worthington, Zoe Saldaña, Sigourney Weaver, Stephen Lang, Kate Winslet, Cliff Curtis","Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",posters/Avatar_The_Way_of_Water_2022.jpg,Movie,https://www.cinematerial.com/movies/avatar-the-way-of-water-i1630029
Pulp Fiction,1994,94 / 100,"Comedy, Thriller, Crime","Quentin Tarantino, Quentin Tarantino, John Travolta, Samuel L. Jackson, Uma Thurman, Bruce Willis, Ving Rhames, Harvey Keitel","A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",posters/Pulp_Fiction_1994.jpg,Movie,https://www.cinematerial.com/movies/pulp-fiction-i110912
Fight Club,1999,79 / 100,"Thriller, Drama","David Fincher, Edward Norton, Brad Pitt, Helena Bonham Carter, Meat Loaf, Jared Leto, Zach Grenier","A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",posters/Fight_Club_1999.jpg,Movie,https://www.cinematerial.com/movies/fight-club-i137523
The Dark Knight Rises,2012,87 / 100,"Thriller, Crime, Drama, Action","Christopher Nolan, Christopher Nolan, Jonathan Nolan, Christian Bale, Gary Oldman, Tom Hardy, Joseph Gordon-Levitt, Anne Hathaway, Marion Cotillard","Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",posters/The_Dark_Knight_Rises_2012.jpg,Movie,https://www.cinematerial.com/movies/the-dark-knight-rises-i1345836
